Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store,cluster,map_cluster,avg number of cars
"Creekside, Raleigh, NC",0.043,14,3.0,3.0,2.4,7.0,55.1,45.9,105689.0,1257.0,36.9,58.2,25.3,62.7,4.3,71.6,0.6,9.9,13.5,0.0,13.6,68.3,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,11,14.0,3.0
"Crestview, Raleigh, NC",0.022000000000000002,87,2.6,2.0,1.8,45.0,46.2,39.1,70461.0,1186.0,46.3,49.2,35.5,50.6,2.7,61.5,1.8,9.6,14.3,0.0,3.6,74.2,0.0,0.0,0.0,0.0,0.0,15,6.0,2.0
"Cross Link Trace, Raleigh, NC",0.023,9,2.2,4.1,1.7,5.0,52.4,41.7,49125.0,678.0,22.5,66.1,45.3,32.8,10.7,38.4,0.8,13.2,25.1,0.0,73.2,85.3,0.0,0.0,0.0,0.0,0.0,9,17.0,4.1
"Crown Oaks, Raleigh, NC",0.077,122,2.2,1.4,1.8,54.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.5,32.6,10.2,29.9,0.4,22.9,16.6,0.9,5.4,78.1,0.0,0.0,0.15384615384615385,0.0,0.0,0,12.0,1.4
"Dacian Valley, Raleigh, NC",0.037000000000000005,66,3.6,1.0,1.6,35.0,42.2,27.7,29928.0,737.0,24.2,67.6,15.0,32.1,7.6,19.6,0.5,24.4,25.2,4.8,13.1,79.3,0.0,0.0,0.0,0.0,0.0,13,9.0,1.0
"Dairyland, Raleigh, NC",0.039,63,2.5,1.4,2.2,34.0,47.2,41.3,122970.0,1192.0,39.3,53.1,40.0,53.4,6.7,59.5,0.9,13.2,15.2,1.7,2.9,58.8,0.0,0.3333333333333333,0.0,0.0,0.0,6,8.0,1.4
"Dandridge Downs, Raleigh, NC",0.013000000000000001,5,2.2,4.1,1.7,3.0,52.4,41.7,49125.0,678.0,22.5,66.1,47.0,32.8,10.7,38.4,0.8,13.2,25.1,0.0,76.0,85.3,0.25,0.0,0.0,0.0,0.0,9,17.0,4.1
"Darien Place, Raleigh, NC",0.005,6,2.4,1.3,2.5,3.0,29.3,32.6,46923.0,672.0,39.7,52.0,43.3,55.3,7.1,54.6,1.1,16.4,18.9,0.0,1.1,62.2,0.0,0.5,0.0,0.0,0.0,8,15.0,1.3
"Dartmoor, Raleigh, NC",0.016,25,2.2,1.4,1.8,11.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.8,32.6,10.2,29.9,0.4,22.9,16.6,0.0,5.5,78.1,0.0,0.3333333333333333,0.0,0.0,0.0,0,12.0,1.4
"Dillmark Townhomes, Raleigh, NC",0.006999999999999999,2,2.8,1.3,2.5,1.0,38.2,42.1,51613.0,704.0,27.1,64.5,42.3,57.8,7.8,49.2,0.6,14.7,15.5,0.0,5.3,88.4,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,9,17.0,1.3
"Dixie Forest, Raleigh, NC",0.021,76,2.5,1.9,2.3,38.0,42.2,33.7,86354.0,897.0,38.8,53.2,27.3,28.2,7.7,27.4,0.4,16.6,34.3,0.0,13.7,58.0,0.0,0.0,0.0,0.25,0.0,16,2.0,1.9
"Drewry Hills, Raleigh, NC",0.26,320,2.6,1.6,2.2,152.0,45.6,48.1,120112.0,1486.0,30.1,65.8,36.4,41.5,3.4,65.1,0.6,12.6,13.3,0.3,5.4,56.7,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,6,8.0,1.6
"Dutchman Creek, Raleigh, NC",0.08199999999999999,29,2.8,1.3,2.5,13.0,38.2,42.1,51613.0,704.0,27.1,64.5,32.3,57.8,7.8,49.2,0.6,14.7,15.5,0.0,4.1,88.4,0.0,0.0,0.0,0.0,0.0,9,17.0,1.3
"Eagle Point, Raleigh, NC",0.018000000000000002,49,2.5,1.3,2.1,23.0,32.6,30.9,34719.0,693.0,30.5,43.2,23.9,60.2,25.0,40.0,1.3,17.8,17.6,6.8,11.2,84.7,0.0,0.0,0.0,0.0,0.0,5,,1.3
"Eastgate, Raleigh, NC",0.141,180,2.1,1.5,1.9,92.0,36.3,36.6,68726.0,1041.0,36.9,46.7,20.3,45.0,14.7,35.4,1.7,15.2,24.8,1.7,11.8,74.7,0.0,0.0,0.0,0.0,0.0,15,6.0,1.5
"Eastwood, Raleigh, NC",0.023,40,3.6,1.0,1.6,21.0,42.2,27.7,29928.0,737.0,24.2,67.6,15.1,32.1,7.6,19.6,0.5,24.4,25.2,5.3,13.2,79.3,0.0,0.0,0.0,0.0,0.0,13,9.0,1.0
"Eden Forest, Raleigh, NC",0.039,57,1.6,0.8,1.6,28.0,54.9,36.9,81406.0,751.0,42.6,43.0,27.1,32.9,11.6,31.2,2.7,9.2,19.4,0.0,7.0,57.4,0.3333333333333333,0.0,0.0,0.0,0.0,16,2.0,0.8
"Edgewater Townhomes, Raleigh, NC",0.031,8,2.6,1.8,2.1,4.0,35.5,34.5,47620.0,797.0,26.5,52.6,16.9,57.6,18.1,38.9,2.9,21.5,19.9,12.5,20.4,78.3,0.0,0.0,0.0,0.0,0.0,9,17.0,1.8
"Edgewater at Rogers Farm, Raleigh, NC",0.138,85,2.3,1.7,1.8,40.0,40.8,36.0,53929.0,895.0,42.0,45.8,24.8,37.7,10.9,34.1,1.3,24.9,22.6,0.0,18.9,86.6,0.0,0.5,0.0,0.0,0.0,0,12.0,1.7
"Edmund St, Raleigh, NC",0.037000000000000005,104,2.2,1.4,1.6,49.0,33.9,35.8,45493.0,703.0,37.6,55.3,19.5,50.7,5.9,30.0,1.2,13.4,17.6,2.1,18.2,79.9,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,8,15.0,1.4
"Evans Mill, Raleigh, NC",0.035,44,2.4,1.2,2.2,18.0,40.1,45.4,78250.0,846.0,54.3,40.8,22.1,62.3,1.8,52.7,3.3,19.8,6.4,0.0,11.2,81.6,0.0,0.0,0.0,0.0,0.0,4,13.0,1.2
"Fairfax, Raleigh, NC",0.165,670,2.2,1.4,1.9,270.0,37.9,42.5,60913.0,976.0,42.6,43.0,30.3,47.5,11.6,44.0,2.7,19.7,15.9,0.3,13.0,72.0,0.0,0.0,0.0,0.0,0.0,10,18.0,1.4
"Fairfield, Raleigh, NC",0.008,15,1.9,1.5,1.6,8.0,40.6,31.7,69375.0,757.0,38.1,56.9,23.3,36.2,3.8,25.7,1.2,19.5,32.6,0.0,31.2,70.9,0.0,0.0,0.0,0.0625,0.0625,15,6.0,1.5
"Fairmont, Raleigh, NC",0.086,398,2.3,1.4,1.9,155.0,21.8,45.4,28214.0,1309.0,43.9,49.0,22.7,32.5,6.0,27.8,1.1,37.9,12.3,0.8,20.5,64.5,0.043478260869565216,0.0,0.0,0.06521739130434782,0.0,13,9.0,1.4
"Fairview Park, Raleigh, NC",0.015,80,2.5,1.7,2.0,39.0,38.0,40.3,103438.0,798.0,38.1,56.9,39.8,61.5,3.8,69.1,1.2,10.6,10.9,0.0,3.5,89.1,0.0,0.0,0.0,0.05555555555555555,0.0,11,14.0,1.7
"Fairway North, Raleigh, NC",0.03,44,2.5,1.8,2.2,23.0,37.5,32.9,74803.0,928.0,34.4,38.8,40.0,63.2,26.8,60.8,0.0,8.8,17.3,15.4,19.9,90.6,0.0,0.0,0.0,0.1,0.0,4,13.0,1.8
"Fairway Ridge, Raleigh, NC",0.017,28,2.8,1.8,2.0,15.0,32.1,28.8,72538.0,777.0,37.0,39.4,23.6,47.3,21.8,52.3,1.8,14.1,23.6,3.7,8.9,75.5,0.0,1.0,0.0,0.0,0.0,15,6.0,1.8
"Fallon Oaks, Raleigh, NC",0.004,21,2.5,1.7,2.0,10.0,38.0,40.3,103438.0,798.0,38.1,56.9,39.9,61.5,3.8,69.1,1.2,10.6,10.9,0.0,3.5,89.1,0.0,0.2,0.0,0.0,0.0,11,14.0,1.7
"Falls Church, Raleigh, NC",0.078,132,1.9,0.4,1.7,57.0,62.8,45.3,51481.0,2295.0,38.7,47.6,39.4,19.4,12.7,35.7,1.0,7.5,14.3,5.5,7.1,80.0,0.0,0.3333333333333333,0.0,0.0,0.0,9,17.0,0.4
"Farmington Woods, Raleigh, NC",0.126,45,2.8,1.3,2.5,20.0,38.2,42.1,51613.0,704.0,27.1,64.5,32.3,57.8,7.8,49.2,0.6,14.7,15.5,0.0,4.1,88.4,0.0,0.0,0.0,0.0,0.0,9,17.0,1.3
"Farrior Hills, Raleigh, NC",0.159,240,1.9,1.4,1.8,115.0,42.1,43.6,98654.0,1613.0,46.3,49.2,34.0,39.1,2.7,41.1,1.8,12.2,14.5,0.0,10.5,68.9,0.09090909090909093,0.0,0.0,0.0,0.0,19,4.0,1.4
"Fayetteville Street, Raleigh, NC",0.016,67,1.5,0.9,1.4,44.0,36.3,35.5,51386.0,974.0,51.8,44.4,18.2,21.4,3.2,18.0,0.7,13.9,47.5,0.0,21.9,87.0,0.25,0.0,0.25,0.0,0.0,9,17.0,0.9
"Fieldstream Farm, Raleigh, NC",0.068,183,2.6,1.6,2.1,82.0,44.8,48.3,120583.0,853.0,52.6,40.0,37.6,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.25,0.0,0.0,0.0,0.0,6,8.0,1.6
"Five Points Village, Raleigh, NC",0.003,6,1.9,1.5,1.6,3.0,40.6,31.7,69375.0,757.0,38.1,56.9,23.3,36.2,3.8,25.7,1.2,19.5,32.6,0.0,31.2,70.9,0.0,0.0,0.0,0.0,0.0,15,6.0,1.5
"Forest Acres, Raleigh, NC",0.052000000000000005,195,1.9,1.4,1.5,91.0,47.3,38.1,57803.0,908.0,38.1,56.9,18.1,39.6,3.8,32.8,1.2,14.7,9.9,0.0,15.4,75.6,0.0,0.0,0.0,0.0,0.0,0,12.0,1.4
"Forest Hills, Raleigh, NC",0.18100000000000002,792,2.2,1.5,1.8,330.0,29.9,38.2,51732.0,1067.0,38.7,53.3,20.1,41.1,7.7,31.7,0.3,35.0,16.2,0.0,24.0,69.2,0.5,0.0,0.0,0.0,0.0,9,17.0,1.5
"Forest Ridge, Raleigh, NC",0.005,12,2.5,1.0,2.1,5.0,40.9,44.1,68036.0,698.0,30.7,45.0,27.7,50.1,22.7,55.5,1.6,15.3,19.2,0.0,3.3,56.1,0.0,0.0,0.0,0.0,0.0,15,6.0,1.0
"Foxcroft, Raleigh, NC",0.762,469,2.3,1.7,1.8,223.0,40.8,36.0,53929.0,895.0,42.0,45.8,24.7,37.7,10.9,34.1,1.3,24.9,22.6,3.2,18.8,86.6,0.0,0.0,0.0,0.0,0.0,0,12.0,1.7
"Gadland Court Townhomes, Raleigh, NC",0.002,1,1.0,1.6462395543175488,259.8,0.5,0.0,0.0,50573.0,762.0,2.0,2.8,20.3,62.7,81.5,14.2,1.2,58.9,36.7,1.6,0.0,5.9,0.0,0.0,0.25,0.0,0.0,9,17.0,1.6462395543175488
"Gatewood, Raleigh, NC",0.047,129,2.2,1.5,1.7,59.0,35.0,36.4,46772.0,788.0,25.3,67.5,25.7,37.4,6.7,30.4,0.5,27.7,16.9,2.6,17.8,61.2,1.0,0.0,0.0,0.0,0.0,8,15.0,1.5
"Georgetown, Raleigh, NC",0.125,244,1.9,1.5,1.6,130.0,40.6,31.7,69375.0,757.0,38.1,56.9,23.1,36.2,3.8,25.7,1.2,19.5,32.6,1.2,30.9,70.9,0.0,0.0,0.0,0.0,0.0,15,6.0,1.5
"Glascock Street, Raleigh, NC",0.031,65,2.6,1.4,1.7,31.0,40.4,42.7,54284.0,857.0,37.6,55.3,19.1,50.8,5.9,30.8,1.2,11.1,17.9,2.0,15.9,80.1,0.0,0.0,0.0,0.125,0.0,0,12.0,1.4
"Glen Eden, Raleigh, NC",0.11800000000000001,14,0.6,1.3,2.1,7.0,3.4,3.0,7130.0,110.0,38.2,56.0,41.9,43.2,5.6,60.9,0.3,10.2,11.3,0.0,2.2,58.3,0.25,0.0,0.0,0.0,0.0,3,11.0,1.3
"Glen Forest, Raleigh, NC",0.141,395,2.3,1.5,2.2,185.0,39.0,41.1,123293.0,1207.0,46.3,42.9,34.9,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.1,66.9,0.0,0.2,0.2,0.0,0.0,6,8.0,1.5
"Glenanneve Place, Raleigh, NC",0.004,12,1.9,1.8,2.0,6.0,39.1,35.0,77179.0,831.0,36.5,59.7,26.3,40.5,3.0,31.8,0.8,20.8,23.1,0.0,15.4,64.5,0.0,0.0,0.0,0.09090909090909093,0.0,4,13.0,1.8
"Glenoe on Ferry, Raleigh, NC",0.026000000000000002,43,2.8,1.8,2.0,22.0,32.1,28.8,72538.0,777.0,37.0,39.4,23.1,47.3,21.8,52.3,1.8,14.1,23.6,2.4,8.7,75.5,0.0,0.3333333333333333,0.0,0.0,0.0,15,6.0,1.8
"Glenwood South, Raleigh, NC",0.225,1757,1.6,0.9,1.4,878.5,35.0,35.9,45869.0,699.0,49.2,45.3,72.0,9.4,4.9,10.0,0.5,16.3,26.5,0.5,31.0,90.2,0.0,0.0,0.0,0.047619047619047616,0.0,8,15.0,0.9
"Glenwood, Raleigh, NC",0.095,506,1.5,1.2,1.5,276.0,33.8,39.8,50824.0,855.0,48.3,45.4,41.2,23.4,5.9,20.1,0.4,23.2,26.5,0.0,2.8,85.9,0.09090909090909093,0.0,0.0,0.0,0.0,9,17.0,1.2
"Golden Forest, Raleigh, NC",0.036000000000000004,70,2.6,1.3,2.0,36.0,41.8,38.3,48750.0,651.0,23.9,53.7,15.0,42.1,19.3,41.8,3.1,19.8,17.7,7.5,1.2,73.9,0.0,0.0,0.0,0.0,0.5,9,17.0,1.3
"Grayson, Raleigh, NC",0.021,19,2.6,1.2,2.1,8.0,42.3,44.4,110083.0,1031.0,53.2,39.1,34.0,57.3,7.3,68.1,0.5,7.6,6.4,0.0,5.4,78.6,0.2,0.0,0.0,0.0,0.0,14,16.0,1.2
"Green Acres, Raleigh, NC",0.042,88,2.9,4.7,2.0,41.0,35.4,25.4,57859.0,841.0,26.9,57.8,16.1,61.0,12.5,49.3,2.8,24.1,16.7,6.0,4.1,64.3,0.25,0.0,0.25,0.0,0.0,0,12.0,4.7
"Green Acres, Raleigh, NC",0.042,88,2.9,4.7,2.0,41.0,35.4,25.4,57859.0,841.0,26.9,57.8,16.1,61.0,12.5,49.3,2.8,24.1,16.7,6.0,4.1,64.3,0.25,0.0,0.25,0.0,0.0,0,12.0,4.7
"Greenbriar, Raleigh, NC",0.3,621,2.4,1.5,2.3,298.0,42.4,26.6,52948.0,841.0,26.9,57.8,15.4,55.1,12.5,39.9,2.8,21.7,20.7,2.4,18.0,72.4,0.0,0.0,0.0,0.06666666666666668,0.0,0,12.0,1.5
"Greenbrook Park, Raleigh, NC",0.022000000000000002,64,3.6,1.6,1.7,39.0,23.5,25.4,33648.0,717.0,27.1,36.2,6.0,60.3,35.8,17.2,0.9,24.5,31.0,25.5,13.8,87.3,0.0,0.0,0.0,0.0,0.09090909090909093,5,,1.6
"Greencastle, Raleigh, NC",0.037000000000000005,108,3.6,1.6,1.7,66.0,23.5,25.4,33648.0,717.0,27.1,36.2,6.0,60.3,35.8,17.2,0.9,24.5,31.0,26.6,13.9,87.3,0.3333333333333333,0.0,0.0,0.0,0.0,5,,1.6
"Greenpark Towns, Raleigh, NC",0.012,35,3.6,1.6,1.7,21.0,23.5,25.4,33648.0,717.0,27.1,36.2,6.1,60.3,35.8,17.2,0.9,24.5,31.0,23.3,14.0,87.3,0.5,0.0,0.0,0.0,0.0,5,,1.6
"Greenwood Farms, Raleigh, NC",0.053,120,2.5,1.0,2.1,57.0,40.9,44.1,68036.0,698.0,30.7,45.0,27.1,50.1,22.7,55.5,1.6,15.3,19.2,2.5,3.2,56.1,0.0,0.0,0.0,0.0,0.0,15,6.0,1.0
"Grey, Raleigh, NC",0.003,1,1.0,1.6462395543175488,259.8,0.5,0.0,0.0,53929.0,895.0,1.8,10.9,24.9,31.4,86.6,22.6,1.7,42.0,45.8,1.3,0.0,5.5,0.0,0.0,0.0,0.04166666666666666,0.0,0,12.0,1.6462395543175488
"Greystone Manor, Raleigh, NC",0.011000000000000001,25,2.1,1.2,2.2,12.0,59.9,57.1,99318.0,872.0,54.2,39.7,46.8,34.8,5.2,72.5,0.9,3.2,5.5,0.0,14.2,73.4,0.0,1.0,0.0,0.0,0.0,19,4.0,1.2
"Greystone Park, Raleigh, NC",0.027999999999999997,63,2.1,1.2,2.2,32.0,59.9,57.1,99318.0,872.0,54.2,39.7,46.8,34.8,5.2,72.5,0.9,3.2,5.5,0.0,14.2,73.4,0.0,0.0,0.25,0.0,0.0,19,4.0,1.2
"Grove Park, Raleigh, NC",0.006999999999999999,52,2.4,1.5,1.7,22.0,34.8,41.9,81179.0,961.0,38.7,53.3,34.6,42.3,7.7,35.2,0.3,18.6,19.6,0.0,8.3,65.8,1.0,0.0,0.0,0.0,0.0,16,2.0,1.5
"Guard Hill, Raleigh, NC",0.005,20,2.6,2.0,1.8,10.0,46.2,39.1,70461.0,1186.0,46.3,49.2,35.2,50.6,2.7,61.5,1.8,9.6,14.3,0.0,3.5,74.2,0.0,0.1111111111111111,0.0,0.0,0.0,15,6.0,2.0
"Hamlin, Raleigh, NC",0.006999999999999999,8,2.4,1.6,2.2,4.0,49.3,51.7,99444.0,1486.0,30.1,65.8,38.9,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.8,56.7,0.0,0.0,0.5,0.0,0.0,19,4.0,1.6
"Hampton Oaks, Raleigh, NC",0.168,420,2.6,1.8,1.9,167.0,35.9,36.5,95333.0,1383.0,46.2,43.3,33.5,57.8,10.1,58.2,0.4,15.8,9.2,1.0,5.1,85.0,0.0,0.0,0.2222222222222222,0.0,0.0,2,7.0,1.8
"Hearthridge, Raleigh, NC",0.013999999999999999,30,2.1,1.2,2.2,15.0,59.9,57.1,99318.0,872.0,54.2,39.7,47.1,34.8,5.2,72.5,0.9,3.2,5.5,0.0,14.3,73.4,0.0,0.75,0.25,0.0,0.0,19,4.0,1.2
"Hedingham Village, Raleigh, NC",0.475,47,0.5,1.7,1.8,22.0,9.2,8.1,12115.0,201.0,42.0,45.8,25.2,37.7,10.9,34.1,1.3,24.9,22.6,2.5,19.2,86.6,0.0,0.5,0.0,0.0,0.0,17,0.0,1.7
"Hemsbury, Raleigh, NC",0.008,21,2.3,1.5,2.2,10.0,39.0,41.1,123293.0,1207.0,46.3,42.9,35.9,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.2,66.9,0.0,1.0,0.0,0.0,0.0,6,8.0,1.5
"Heritage Heights, Raleigh, NC",0.015,51,2.1,1.1,1.4,22.0,31.8,34.6,44079.0,671.0,37.6,55.3,21.4,50.3,5.9,27.1,1.2,22.6,16.0,2.3,25.6,79.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,8,15.0,1.1
"Herndon Village, Raleigh, NC",0.008,3,2.2,4.1,1.7,2.0,52.4,41.7,49125.0,678.0,22.5,66.1,48.4,32.8,10.7,38.4,0.8,13.2,25.1,0.0,78.2,85.3,0.0,0.0,0.0,0.0,0.0,9,17.0,4.1
"Hi Mount, Raleigh, NC",0.113,18,0.1,1.4,1.5,8.0,2.0,1.8,3546.0,43.0,38.1,56.9,19.0,39.7,3.8,32.9,1.2,14.6,9.9,0.3,15.9,75.6,0.0,0.0,0.0,0.0,0.1,3,11.0,1.4
"Hickory Hills, Raleigh, NC",0.198,257,2.3,1.5,1.9,130.0,41.1,37.8,69576.0,1069.0,37.6,46.9,21.2,44.6,13.8,36.0,1.7,15.0,24.1,1.6,11.7,74.1,0.5,0.0,0.0,0.0,0.0,15,6.0,1.5
"Hickory Hollow, Raleigh, NC",0.021,25,2.3,1.6,1.9,13.0,33.1,32.8,52589.0,834.0,30.7,45.0,14.6,48.7,22.7,31.8,1.6,16.8,30.4,0.0,12.3,81.7,0.0,0.0,0.0,0.0,0.0,0,12.0,1.6
"Hickory Meadows, Raleigh, NC",0.04,77,2.6,1.3,2.0,40.0,41.8,38.3,48750.0,651.0,23.9,53.7,15.1,42.1,19.3,41.8,3.1,19.8,17.7,6.8,1.2,73.9,0.0,0.0,0.0,0.0,0.5,9,17.0,1.3
"Highland Forest, Raleigh, NC",0.012,26,2.6,1.8,2.1,13.0,53.1,44.2,147857.0,2081.0,38.2,56.0,38.5,50.1,5.5,67.8,0.3,8.0,9.3,0.0,1.6,56.8,0.0,0.0,0.0,0.0,0.0,1,1.0,1.8
"Highland Forest, Raleigh, NC",0.012,26,2.6,1.8,2.1,13.0,53.1,44.2,147857.0,2081.0,38.2,56.0,38.5,50.1,5.5,67.8,0.3,8.0,9.3,0.0,1.6,56.8,0.0,0.0,0.0,0.0,0.0,1,1.0,1.8
"Highland Gardens, Raleigh, NC",0.12,161,2.4,1.3,2.5,90.0,29.3,32.6,46923.0,672.0,39.7,52.0,41.6,55.3,7.1,54.6,1.1,16.4,18.9,4.9,1.1,62.2,0.0,0.0,0.0,0.0,0.2,8,15.0,1.3
"Hillcrest, Raleigh, NC",0.1,26,2.9,1.8,2.4,12.0,29.9,32.8,40893.0,787.0,23.9,53.7,14.0,61.8,19.3,39.9,3.1,20.9,19.5,25.0,18.3,73.1,0.0,0.0,0.0,0.0,0.0,8,15.0,1.8
"Holly Ridge, Raleigh, NC",0.10400000000000001,37,3.1,1.1,1.6,16.0,50.7,48.6,72696.0,1066.0,39.7,36.8,25.4,59.3,21.5,51.8,2.0,19.9,9.2,0.0,18.7,81.9,0.0,0.0,0.0,0.0,0.0,15,6.0,1.1
"Holston Lane, Raleigh, NC",0.013000000000000001,23,2.6,1.2,2.8,11.0,26.8,27.2,28650.0,665.0,20.4,57.5,10.5,54.1,21.1,16.6,1.0,28.1,29.8,10.5,23.3,37.5,0.0,0.0,0.0,0.0,0.0,13,9.0,1.2
"Home Acres, Raleigh, NC",0.054000000000000006,21,2.2,4.1,1.7,13.0,52.4,41.7,49125.0,678.0,22.5,66.1,45.8,32.8,10.7,38.4,0.8,13.2,25.1,0.0,73.9,85.3,0.0,0.0,0.0,0.0,0.3333333333333333,9,17.0,4.1
